Manuscript Number	Author Name	Article Title	Article Type	Current Status	Status Date	Initial Date Submitted	Review Status	DOI	Short Title	Keywords	Classifications	Reviewers	Handling Editor	Assigned Editors
PNMC-D-21-00007R4	Andrea Rossi (GERMANY)	Beyond Mendelian inheritance: genetic buffering and phenotype variability	Review	Final Decision Accept	08 Oct 2021	05 Feb 2021					"10.050: Cell biology; 10.080: Genetics; 10.110: Molecular biology "	Shaohua Fan, Ph.D ; Ting Ni ; Shaohua Fan, Ph.D ; Ting Ni ; Shaohua Fan, Ph.D ; Ting Ni ; Shaohua Fan, Ph.D ; Ting Ni	Sankari Gireesa	Chen Ding
PNMC-D-21-00008R4	Yi Lu (CHINA)	Preoperative Characteristics of Ocular Biometry in Children with Unilateral Congenital Cataracts	Article	Final Decision Accept	17 Dec 2021	09 Feb 2021					"20.020: Diseases; 20.030: Health care "	Dawei Luo ; Panfeng Wang, Ph.D., M.D. ; Dawei Luo ; Mingxing Wu ; Dawei Luo ; Mingxing Wu	Sankari Gireesa	Chen Ding
PNMC-D-21-00009R2	Chengyan Wang (CHINA)	Recommendation for Cardiac Magnetic Resonance Imaging-based Phenotypic Study: Imaging Part	Review	Final Decision Accept	25 May 2021	13 Feb 2021					"20.010: Biomarkers; 10.140: Systems biology "	Wenjian Huang ; Shuo Wang ; Wenjian Huang ; Shuo Wang	Sankari Gireesa	Chen Ding
PNMC-D-21-00010R2	Shanfeng Zhu (CHINA)	Computational methods for prediction of human protein-phenotype associations: a review	Review	Final Decision Accept	17 Jun 2021	23 Feb 2021					"10.060: Computational biology and bioinformatics; 20.020: Diseases "	Han Renmin ; Nan Shen ; Han Renmin ; Nan Shen	Sankari Gireesa	Chen Ding
PNMC-D-21-00011	Subhashish Dey (INDIA)	Applications of solid waste biosorbents for removal of nitrates from contaminated water	Article	Final Decision Reject	16 Mar 2021	23 Feb 2021					"10.010: Biochemistry; 20.010: Biomarkers; 10.020: Biophysics; 20.020: Diseases; 20.030: Health care; 10.100: Microbiology; 10.110: Molecular biology; 10.130: Physiology; 10.140: Systems biology "		Sankari Gireesa	Chen Ding
PNMC-D-21-00012	Kasim Roba Jilo (ETHIOPIA)	Identification and evaluation of Croton macrostachyus honeys ‘antimicrobial sources from its nectar and pollen against Escherichia coli, Shigella boydii, Staphylococcus aureus and Bacillus subtilis	Article	Final Decision Reject	16 Mar 2021	22 Feb 2021					"10: Biological sciences; 20: Health sciences "		Sankari Gireesa	Chen Ding
PNMC-D-21-00013R4	jing wang (CHINA)	Mapping Cell Phenomics with Multiparametric Flow Cytometry Assay	Review	Final Decision Accept	13 Oct 2021	07 Apr 2021					"10: Biological sciences; 20.010: Biomarkers; 10.030: Biotechnology; 20: Health sciences "	Feng Qian ; Pengyuan Yang ; Feng Qian ; Pengyuan Yang	Sankari Gireesa	Chen Ding
PNMC-D-21-00014R4	Yuguo Yu (CHINA)	Mental Calculation Drives Reliable and Weak Distant Connectivity While Music Listening Induces Dense Local Connectivity	Article	Final Decision Accept	29 Sep 2021	19 Mar 2021					"10.060: Computational biology and bioinformatics; 10.120: Neuroscience "	Chengyan Wang ; Peng Xu ; Chengyan Wang ; Peng Xu	Sankari Gireesa	Chen Ding
PNMC-D-21-00015	Kasim Roba Jilo (ETHIOPIA)	A study of antimicrobial activities of aqueous and ethanolic extract of bee pollen against Escherichia coli, Shigella boydii, Staphylococcus aureus and Bacillus subtilis	Article	Final Decision Reject	29 Mar 2021	18 Mar 2021					"10.100: Microbiology "		Sankari Gireesa	Chen Ding
PNMC-D-21-00016R5	Wenhao Zhou (CHINA)	CYP2C9*3 Increases the Ibuprofen Response of Hemodynamically Significant Patent Ductus Arteriosus in the Infants with Gestational Age of More Than 30 Weeks	Article	Final Decision Accept	01 Oct 2021	26 Mar 2021					"10.080: Genetics; 10.120: Neuroscience "	Haijian Wang ; Feng Zhang ; Xiaoping Luo ; Feng Zhang ; Xiaoping Luo ; Feng Zhang ; Xiaoping Luo ; Feng Zhang	Sankari Gireesa	Chen Ding
PNMC-D-21-00017R2	Bing Zhao (CHINA)	Defense of COVID-19 by Human Organoids	Review	Final Decision Accept	11 May 2021	27 Mar 2021					"10.030: Biotechnology; 10.050: Cell biology; 20.020: Diseases "	Huili Hu ; Ming Jiang ; Huili Hu ; Ming Jiang	Sankari Gireesa	Chen Ding
PNMC-D-21-00018R5	Weihai Ying (CHINA)	Phenomic Studies on Diseases: Potential and Challenges	Review	Final Decision Accept	25 Nov 2022	28 Mar 2021					"20.010: Biomarkers; 20.020: Diseases; 20: Health sciences "	Jianpeng Ma ; Kai Ye ; Jianpeng Ma ; Tao Zeng ; Enrico Capobianco ; Jianpeng Ma ; Tao Zeng ; Enrico Capobianco ; Jianpeng Ma ; Tao Zeng	Sankari Gireesa	Chen Ding
PNMC-D-21-00019R1	Jeremy Kirk Nicholson (AUSTRALIA)	Molecular Phenomic Approaches to Deconvolving the Systemic Effects of SARS-CoV-2 Infection and Post-Acute COVID-19 Syndrome	Review	Final Decision Accept	17 Jun 2021	20 Apr 2021	1 Complete; 0 Partial Review Saved				"10: Biological sciences; 20: Health sciences "	Huiru Tang ; Huiru Tang *	Sankari Gireesa	Chen Ding
PNMC-D-21-00020R4	Tianyu Zheng (CHINA)	Three Novel Mutations of Microphthalmos Identified in Two Chinese Families	Article	Final Decision Accept	09 Apr 2022	16 Apr 2021					"20.020: Diseases; 10.080: Genetics "	Dawei Luo ; Panfeng Wang, Ph.D., M.D. ; Dawei Luo ; Binxin Xu ; Dawei Luo ; Binxin Xu	Sankari Gireesa	Chen Ding
PNMC-D-21-00021R4	Jiangping Song (CHINA)	Phenotypes of Cardiovascular Diseases Current status and Future Perspectives	Review	Final Decision Accept	16 Aug 2021	28 Apr 2021					"20.020: Diseases; 10.080: Genetics "	Damien Smedley ; Aijun Sun ; Damien Smedley ; Aijun Sun	Sankari Gireesa	Chen Ding
PNMC-D-21-00022R4	Yandan Lin (CHINA)	Diurnal Circadian Lighting Accumulation Model: A Predictor of the Human Circadian Phase Shift Phenotype	Article	Final Decision Accept	10 Dec 2021	10 May 2021					"20.010: Biomarkers; 20.030: Health care; 10.130: Physiology "	Wei Chen ; Mark Rea ; Wei Chen ; Mark Rea ; Wei Chen ; Mark Rea ; Kaida Xiao ; Wei Chen ; Mark Rea ; Kaida Xiao	Sankari Gireesa	Chen Ding
PNMC-D-21-00023	González Pilar (SPAIN)	Silicon in the Universe: It would be possible that silicon form part of some other life type?.	Review	Final Decision Reject	18 Sep 2021	10 May 2021	1 Complete; 0 Partial Review Saved; 7 Declined				"10: Biological sciences "	Qi Zhang *	Sankari Gireesa	Chen Ding
PNMC-D-21-00024R1	Lei Zhang (CHINA)	Unsupervised machine learning clustering approaches reveal distinct spatial and temporal differences in the early diversification of SARS-COV-2	Article	Final Decision Reject	23 Sep 2021	13 May 2021	2 Complete; 0 Partial Review Saved; 1 Declined				"10.060: Computational biology and bioinformatics; 10.110: Molecular biology "	Yi Wang ; Guoqing Zhang ; Jianqing Xu * ; Guoqing Zhang *	Sankari Gireesa	Chen Ding
PNMC-D-21-00025R1	Li Zhang (CHINA)	Integrative identification by Hi-C revealed distinct advanced structural variations in Lung Adenocarcinoma tissue	Article	Revision Submitted	30 Nov 2022	16 May 2021					"10.040: Cancer "	Yueqing Hu ; Ming Jiang		
PNMC-D-21-00026R4	Ding-Wei Ye (CHINA)	Systematic genome-wide profiles reveal alternative splicing landscape and implications of splicing regulator DExD-box helicase 21 in aggressive progression of adrenocortical carcinoma	Article	Final Decision Accept	20 Sep 2021	01 Jun 2021					"20.010: Biomarkers; 10.040: Cancer; 10.060: Computational biology and bioinformatics; 10.080: Genetics "	Chen Ding ; Jun Wang ; Chen Ding ; Jun Wang	Sankari Gireesa	Chen Ding
PNMC-D-21-00027R4	Tiemin Liu (CHINA)	Pseudotime Ordering Single-cell Transcriptomic of β Cells Pancreatic Islets in Health and Type 2 Diabetes	Article	Final Decision Accept	27 Aug 2021	31 May 2021					"10.060: Computational biology and bioinformatics; 20.020: Diseases "	Xiaodan Lu ; Bingxiang Xu ; Yingyun Gong ; Xiaodan Lu ; Yingyun Gong ; Xiaodan Lu	Sankari Gireesa	Chen Ding
PNMC-D-21-00028R2	Xianting Ding (CHINA)	Recent Progresses in Electrochemical DNA Biosensors for MicroRNA detection	Review	Final Decision Accept	13 Oct 2021	01 Jun 2021					"20.010: Biomarkers; 10.030: Biotechnology; 20.020: Diseases; 20.030: Health care "	Dahai REN ; Muhammad J. A. Shiddiky ; Muhammad J. A. Shiddiky ; Shiping SONG ; Jian YANG	Sankari Gireesa	Chen Ding
PNMC-D-21-00029R3	Hongming Shan (CHINA)	Strided Self-Supervised Low-Dose CT Denoising for Lung Nodule Classification	Article	Final Decision Accept	14 Sep 2021	08 Jun 2021					"10.060: Computational biology and bioinformatics; 20.020: Diseases "	Zheng Fang ; Yi Zhang ; Zheng Fang ; Yi Zhang ; Yi Zhang	Sankari Gireesa	Chen Ding
PNMC-D-21-00030R6	Bing Su (CHINA)	Seasonality and Sex-biased Fluctuation of Birth Weight in Tibetan Populations	Article	Final Decision Accept	06 Dec 2021	21 Jun 2021					"10.080: Genetics "	Hui Li ; Shuhua Xu ; Hui Li ; Shuhua Xu	Sankari Gireesa	Chen Ding
PNMC-D-21-00031R5	xiaobo yang (CHINA)	Causal effect of genetically determined blood copper concentrations on multiple diseases: A Mendelian randomization and phenome-wide association study	Article	Final Decision Accept	07 Apr 2022	27 Jun 2021					"10.040: Cancer; 20.020: Diseases; 10.080: Genetics "	Fashuai Wu ; Yan Zheng ; Yitang Sun ; Yan Zheng ; Yitang Sun ; Yan Zheng ; Yitang Sun ; Yan Zheng	Sankari Gireesa	Chen Ding
PNMC-D-21-00032R2	Jie Tian (CHINA)	Optical imaging  of epigenetic modifications in cancer: A systematic review	Review	Final Decision Accept	17 Dec 2021	10 Jul 2021					"20.010: Biomarkers; 10.040: Cancer; 20.020: Diseases; 10.070: Drug discovery; 20.030: Health care "	Zhen Cheng ; Mei Tian ; Mei Tian ; Chengyan Wang	Sankari Gireesa	Chen Ding
PNMC-D-21-00033R2	Xingdong Chen (CHINA)	Phenome-wide association analysis reveals novel links between genetically determined levels of liver enzymes and disease phenotypes	Article	Final Decision Accept	16 Oct 2021	12 Jul 2021					"20.010: Biomarkers; 20.020: Diseases "	Wei He ; Jiaqi Huang ; Wei He ; Jiaqi Huang	Sankari Gireesa	Chen Ding
PNMC-D-21-00034R5	Chunchun Yuan (CHINA)	Chinese Medicine Phenomics (Chinmedphenomics)-------Personalized, Precise and Promising	Review	Final Decision Accept	23 Aug 2022	27 Jul 2021	2 Complete; 0 Partial Review Saved				"20: Health sciences "	Zhenglong Gu ; Yanping Yang ; Bo Han ; Kaifeng Hu, Ph.D ; Bo Han ; Jingjing Luo ; Bo Han ; Guillermo Lopez Campos ; Bo Han ; Hui Li ; Bo Han * ; Hui Li *	Sankari Gireesa	Chen Ding
PNMC-D-21-00035R2	Shangyu Hong (CHINA)	Diets, Gut Microbiota and Metabolites	Review	Under Review	21 Nov 2022	26 Jul 2021	1 Complete; 0 Partial Review Saved; 1 Agreed				"10.100: Microbiology; 10.130: Physiology "	Shuang Tang, MD PhD MHSc ; Yan Zheng ; Shuang Tang, MD PhD MHSc ; Yan Zheng ; Shuang Tang, MD PhD MHSc * ; Yan Zheng *	Chen Ding	Chen Ding
PNMC-D-21-00036R2	Yenan Yang (CHINA)	Global quantitative proteomics analysis reveals the downstream signaling networks of Msx1 and Msx2 in myoblast differentiation	Article	Final Decision Accept	12 Feb 2022	28 Jul 2021					"10: Biological sciences "	Ping Hu ; Yuguo Yu ; Jichang Huang ; Yuguo Yu	Sankari Gireesa	Chen Ding
PNMC-D-21-00037R2	WEI YU (CHINA)	Immunosuppression induced by brain-specific HDAC6 knockdown improves aging performance in Drosophila melanogaster	Article	Final Decision Accept	20 Jan 2022	01 Aug 2021					"10.050: Cell biology; 20.030: Health care "	Jingsong Li ; Guanghui Liu ; Jingsong Li ; Guanghui Liu	Sankari Gireesa	Chen Ding
PNMC-D-21-00038R5	Hui Li (CHINA)	Infrared imageries of human body activated by tea match the hypothesis of meridian system	Correspondence/Letter to the Editor	Final Decision Accept	25 Nov 2022	05 Aug 2021					"20.030: Health care; 10.130: Physiology "	Jinglei Guo ; Mengmeng Sun, Ph.D. ; Hui Zhang ; Jing Tang ; Neil Theise ; Joseph O. Erhabor, Ph.D. ; Wen-Guang Jing ; Cheang Khoo ; Joseph O. Erhabor, Ph.D. ; Silvana Nisgoski ; Daniela Benedec ; Joseph O. Erhabor, Ph.D.	Sankari Gireesa	Chen Ding
PNMC-D-21-00039R6	He Wang (CHINA)	Measurement of Cerebral Oxygen Extraction Fraction (OEF) Using Quantitative BOLD approach: A Review	Review	Final Decision Accept	12 Oct 2022	11 Aug 2021					"20.010: Biomarkers; 10.020: Biophysics; 20.020: Diseases; 10.120: Neuroscience "	Hao Li ; Jie Tian, Ph.D. ; Nicholas Blockley ; Hao Li ; Jeffrey N Stout ; Junghun Cho ; Hao Li ; Stephen J. Payne ; Jeroen C. W. Siero ; Hao Li ; Jeroen C. W. Siero ; Hao Li ; Jeroen C. W. Siero	Sankari Gireesa	Chen Ding
PNMC-D-21-00040R3	Jixi Li (CHINA)	Pan-cancer analysis identifies RNA helicase DDX1 as a prognostic marker	Article	Final Decision Accept	01 Nov 2021	12 Aug 2021					"20.010: Biomarkers; 10.040: Cancer; 10.060: Computational biology and bioinformatics; 20.020: Diseases "	Lunzhi Dai ; Jianyuan Zhao ; Lunzhi Dai ; Jianyuan Zhao	Sankari Gireesa	Chen Ding
PNMC-D-21-00041R2	Qin Lun-Xiu (CHINA)	Emerging Regulatory Mechanisms of N6-methyladenosine Modification in Cancer Metastasis	Review	Final Decision Accept	27 Dec 2021	15 Aug 2021					"10.040: Cancer; 10.110: Molecular biology "	Zeguang Han ; Xiaoyang Zhang ; Zeguang Han ; Xiaoyang Zhang	Sankari Gireesa	Chen Ding
PNMC-D-21-00042R3	Karansher Sandhu (UNITED STATES)	A Comprehensive Review of High Throughput Phenotyping and Machine Learning for Plant Stress Phenotyping	Review	Final Decision Accept	11 Feb 2022	17 Aug 2021					"10: Biological sciences "	Mario Valerio Giuffrida, PhD ; Yingxiang Wang ; Mario Valerio Giuffrida, PhD ; Yingxiang Wang	Sankari Gireesa	Chen Ding
PNMC-D-21-00043R3	Feng Jiang (CHINA)	A Preliminary Study on the Evaluation of Human Sperm Head Morphology with a Domestic Digital Holographic	Article	Final Decision Accept	20 Jan 2022	27 Aug 2021					"20.020: Diseases "	Mofang Liu ; Fuxi Zhu ; Mofang Liu ; Fuxi Zhu ; Mofang Liu ; Fuxi Zhu	Sankari Gireesa	Chen Ding
PNMC-D-21-00044R2	Hong Zhang (CHINA)	Positron Emission Tomography Molecular Imaging for Phenotyping and Management of Lymphoma	Review	Final Decision Accept	22 Dec 2021	21 Aug 2021					"10.040: Cancer; 20.020: Diseases "	He Wang ; Yafu Yin ; He Wang ; Yafu Yin	Sankari Gireesa	Chen Ding
PNMC-D-21-00045R4	Feng Jiang (CHINA)	Basic phenotyping of male fertility from 2019 to 2020 at the Human Sperm Bank of Fudan University	Article	Final Decision Accept	31 Jan 2022	29 Aug 2021					"20.030: Health care "	Xiaolin He ; Mofang Liu ; Xiaolin He ; Mofang Liu	Sankari Gireesa	Chen Ding
PNMC-D-21-00046R2	Weihai Ying (CHINA)	Green Autofluorescence of the Index Fingernails of Human Subjects is a Novel and Significant Phenomic Parameter for Non-Invasive and Rapid Determinations of the Status of Tobacco Smoking	Article	Final Decision Reject	24 Feb 2022	22 Aug 2021	3 Complete; 0 Partial Review Saved				"20.010: Biomarkers "	Minbiao Ji ; Xunbin Wei ; Chen Chen ; Minbiao Ji ; Xunbin Wei ; Chen Chen * ; Xudong Wang * ; Xunbin Wei *	Sankari Gireesa	Chen Ding
PNMC-D-21-00047R4	Junjie Luo (CHINA)	Mitochondria as the essence of Yang Qi in the human body	Review	Final Decision Accept	04 May 2022	28 Aug 2021					"10.050: Cell biology; 20.020: Diseases; 10.080: Genetics; 10.130: Physiology "	Martin Picard ; Chengping Wen ; Martin Picard ; Chengping Wen ; Martin Picard ; Chengping Wen	Sankari Gireesa	Chen Ding
PNMC-D-21-00048	Xin-Qiang Wu (CHINA)	Increased Expression of TRIB3 Predicts Poor Prognosis and Correlates with Tumor Immunity in clear cell renal cell carcinoma: A Bioinformatics Study	Article	Submission Transferred	03 Dec 2021	02 Sep 2021	2 Complete; 0 Partial Review Saved; 8 Declined				"10.040: Cancer; 20.020: Diseases; 10.090: Immunology "	Jinwen Feng * ; Quan Zhou *	Sankari Gireesa	Chen Ding
PNMC-D-21-00049R2	Lingjun Li (UNITED STATES)	Recent Advances in Understanding of Alzheimer’s Disease Progression through Mass Spectrometry-Based Metabolomics	Review	Final Decision Accept	01 Dec 2021	01 Sep 2021					"20.010: Biomarkers; 20.020: Diseases; 10.140: Systems biology "	Ling Hao ; Melanie Odenkirk ; Ling Hao ; Melanie Odenkirk	Sankari Gireesa	Chen Ding
PNMC-D-21-00050R3	Martin Picard (UNITED STATES)	Why Do We Care More About Disease than Health?	Commentary	Final Decision Accept	03 Dec 2021	05 Sep 2021					"10.050: Cell biology; 20.030: Health care; 10.130: Physiology "	Vorasuk Shotelersuk ; Qiang Tian, MD, PhD ; Vorasuk Shotelersuk ; Qiang Tian, MD, PhD ; Vorasuk Shotelersuk ; Qiang Tian, MD, PhD	Sankari Gireesa	Chen Ding
PNMC-D-21-00051	Mukhtar Ahmed (UNITED KINGDOM)	Evaluation of status of post-recovery patients with COVID-19 infections in Kurdistan region-Iraq	Article	Final Decision Reject	23 Nov 2021	29 Sep 2021	2 Complete; 0 Partial Review Saved; 4 Declined				"20.020: Diseases; 20.030: Health care "	Yueqing Hu * ; Pengfei Wang *	Sankari Gireesa	Chen Ding
PNMC-D-21-00052R3	Ding-Wei Ye (CHINA)	Large-scale proteomics data reveal integrated prognosis-related protein signatures and role of SMAD4 and RAD50 in prognosis and immune infiltrations of prostate cancer microenvironment	Article	Final Decision Accept	06 Aug 2022	01 Oct 2021					"20.010: Biomarkers; 10.040: Cancer "	Jinwen Feng ; Lei Zhou ; Jinwen Feng ; Jun Wang ; Jianyuan Zhao ; Jinwen Feng ; Jun Wang ; Jianyuan Zhao	Sankari Gireesa	Chen Ding
PNMC-D-21-00053R3	Guangtao Zhai (CHINA)	Palmprint Phenotype Feature Extraction and Classification Based on Deep Learning	Article	Final Decision Accept	12 May 2022	12 Oct 2021					"10.030: Biotechnology; 10.060: Computational biology and bioinformatics "	Menghan Hu ; Jiantao Zhou ; Menghan Hu ; Jiantao Zhou	Sankari Gireesa	Chen Ding
